Sleep_Hours,Sleep_Quality,Physical_Activity_Min,Diet_Quality,Stress_Level,HealthScore,HealthFloor,FloorNum,C1,C2,C3
10.0,0.0,41,1.0,3,2.1986747290536064,🟡 Floor 2 — Average,2,0.9721395494805192,1.4338684202435166,-1.3486032738464546
5.7,2.0,36,1.0,8,-1.9269354732543298,🟠 Floor 1 — Below Average,1,-0.18188037683126454,-0.2983346273904863,0.14771921260109844
7.5,2.0,7,1.0,8,-2.690385079355563,🟠 Floor 1 — Below Average,1,-0.17454741063995846,-1.296177741613599,0.808351569130597
5.6,2.0,35,0.0,5,-2.7175348337496192,🟠 Floor 1 — Below Average,1,-1.029508204243313,0.5322728472207551,1.2330515463678304
7.3,0.0,29,0.0,1,-2.1316177187541374,🟠 Floor 1 — Below Average,1,-1.3553637812266717,0.9748381739051202,-0.022150552673564534
6.4,3.0,16,1.0,4,2.8031580365392723,🟢 Floor 3 — Healthy,3,1.0584720875561993,-1.2845316288479853,1.2660535154616936
8.1,1.0,27,1.0,3,1.8135144191531132,🟡 Floor 2 — Average,2,0.6387616182579395,0.04002108241240705,-0.35467441555172047
7.0,2.0,12,1.0,6,-0.8458994738961767,🟠 Floor 1 — Below Average,1,0.08926999718492096,-1.1793631682562071,0.6823175970596538
7.0,2.0,37,1.0,5,1.8355789252306915,🟡 Floor 2 — Average,2,0.8736623230132677,0.11087185010467851,0.11431190739703367
7.5,2.0,31,0.0,5,-1.6522685552052052,🟠 Floor 1 — Below Average,1,-0.36825620925605435,0.8537160325676808,1.331767916931708
8.6,3.0,17,1.0,6,2.585338113158419,🟡 Floor 2 — Average,2,1.6215395422376344,-0.6188935901341692,1.2649339380974005
7.3,1.0,36,1.0,3,1.8793825939964586,🟡 Floor 2 — Average,2,0.5399997770268339,0.2826080759462858,-0.5608081180508263
6.8,3.0,50,0.0,5,1.1333630315689782,🟡 Floor 2 — Average,2,0.5884485883290189,1.498164274480632,1.588878362729075
7.5,1.0,11,1.0,4,-0.6603566798602931,🟠 Floor 1 — Below Average,1,-0.16444692880207537,-0.9520393648281559,0.008117176289181788
4.8,0.0,28,2.0,7,-2.6748387475514046,🟠 Floor 1 — Below Average,1,-0.813047542650529,-1.5917881740275723,-2.1377447887552505
6.9,2.0,54,0.0,1,3.2342609936993068,🟢 Floor 3 — Healthy,3,0.638521880166621,1.8700964400592974,0.7891037722263539
7.0,2.0,27,2.0,3,6.400016726987664,🟢 Floor 3 — Healthy,3,2.2634115393158205,-1.3220735801212382,-0.7521843886460187
7.2,1.0,31,0.0,3,-1.9633684093693649,🟠 Floor 1 — Below Average,1,-0.9171977664889511,0.9103492260810294,0.6313940459195111
5.6,1.0,21,2.0,4,2.1165723352064814,🟡 Floor 2 — Average,2,0.6160836584785818,-1.8773577886719741,-1.3057561921158998
7.7,0.0,15,1.0,3,-1.2594853864437467,🟠 Floor 1 — Below Average,1,-0.5857391480610942,-0.5485409332084763,-0.7743079077999302
8.2,2.0,24,1.0,3,3.619197743638445,🟢 Floor 3 — Healthy,3,1.3749762233000768,-0.229693774812465,0.4010051426629962
7.6,1.0,22,1.0,6,-1.6632988897731362,🟠 Floor 1 — Below Average,1,-0.19522999659624038,-0.3534738864612732,-0.22760856550941277
9.1,2.0,51,1.0,5,4.308233680892846,🟢 Floor 3 — Healthy,3,2.0569012155332516,1.4177772207973558,-0.19096268494080745
6.3,0.0,57,1.0,8,-3.9166378279381755,🔴 Floor 0 — At Risk,0,-0.9661593756400499,1.2383409038711228,-1.6973869581013716
5.7,2.0,30,0.0,3,-1.1509703812841179,🟠 Floor 1 — Below Average,1,-0.7714324239386143,0.2992531490267522,1.3347267036507775
6.3,2.0,9,1.0,5,-0.6292958938665755,🟠 Floor 1 — Below Average,1,-0.09376711203654502,-1.5301562835179092,0.7409541739270081
5.7,1.0,60,1.0,2,3.3566341380819704,🟢 Floor 3 — Healthy,3,0.6602692941078318,1.0764827731845483,-1.113675613600379
6.7,0.0,22,1.0,4,-2.399616119747645,🟠 Floor 1 — Below Average,1,-0.9840084138274492,-0.46360342570725593,-0.9307412505537741
8.3,0.0,0,0.0,4,-6.232920057284677,🔴 Floor 0 — At Risk,0,-2.1791516161294546,-0.24158277341597537,0.6516930892212968
5.4,3.0,21,1.0,6,0.5987675203582468,🟡 Floor 2 — Average,2,0.44064101725403254,-1.3016560297929796,1.1602401371305
4.9,2.0,16,1.0,4,-0.20564072347814663,🟠 Floor 1 — Below Average,1,-0.3110354037375484,-1.558908916021438,0.571421819101778
6.6,1.0,21,1.0,5,-1.518676291887863,🟠 Floor 1 — Below Average,1,-0.4490698383131638,-0.6843289672404959,-0.21534145872248578
7.6,2.0,22,0.0,6,-3.137855745610239,🔴 Floor 0 — At Risk,0,-0.719750145055093,0.41783000989717956,1.5403129044182606
6.0,2.0,14,0.0,2,-1.1397512623494397,🟠 Floor 1 — Below Average,1,-0.8739934669369345,-0.4451781839066755,1.6903967138233165
6.0,1.0,22,0.0,6,-6.217524068262717,🔴 Floor 0 — At Risk,0,-2.1292304463485596,0.11565893393050507,0.8452214057196508
7.3,0.0,41,1.0,4,-0.6384355392092486,🟠 Floor 1 — Below Average,1,-0.2775724275439995,0.684693615242456,-1.3553880356328893
7.6,2.0,29,0.0,4,-0.7983946212147142,🟠 Floor 1 — Below Average,1,-0.2069529897279213,0.7769329280828264,1.3715878809764424
