Unnamed: 0,Actvitiy,Description,Cluster,x,y,z,SVD_1,SVD_2
0,Bicycling,"Bicycling, mountain, competitive racing",4,0.08654666006815903,-0.08359286206278616,-0.006253890718138772,0.08654666006815903,-0.08359286206278616
1,Bicycling,"Bicycling, BMX",4,0.12135836894192055,-0.1294479270841444,-0.07136394306770653,0.12135836894192055,-0.1294479270841444
2,Bicycling,"Bicycling, mountain, general",4,0.14845212335512037,-0.057514742683888606,-0.008215373957706548,0.14845212335512037,-0.057514742683888606
4,Bicycling,"Bicycling, to/from work, self selected pace",4,0.11435157758343817,-0.04945700531061859,-0.02362375709997224,0.11435157758343817,-0.04945700531061859
5,Bicycling,"Bicycling, on dirt or farm road, moderate pace",1,0.12803404166709004,-0.08816329524382388,-0.05095008759944929,0.12803404166709004,-0.08816329524382388
7,Bicycling,"Bicycling, self-selected easy pace",4,0.0826258630979795,-0.08080876881841009,-0.04314170631479249,0.0826258630979795,-0.08080876881841009
8,Bicycling,"Bicycling, self-selected moderate pace",4,0.16539180037839152,-0.11917102788304743,-0.0675074534159262,0.16539180037839152,-0.11917102788304743
9,Bicycling,"Bicycling, self-selected vigorous pace",4,0.14820694035424287,-0.14247996715934855,-0.06235494323864245,0.14820694035424287,-0.14247996715934855
10,Bicycling,"Bicycling, leisure 5.5 mph",4,0.10543163170620551,-0.10522113841326067,-0.039384416089638975,0.10543163170620551,-0.10522113841326067
11,Bicycling,"Bicycling, leisure, 9.4 mph",4,0.10543163170620551,-0.10522113841326067,-0.039384416089638975,0.10543163170620551,-0.10522113841326067
15,Bicycling,"Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general",1,0.09106833510158424,-0.05274796995624631,-0.015722090218399553,0.09106833510158424,-0.05274796995624631
16,Bicycling,"Bicycling, >20 mph, racing, not drafting",4,0.07538419786174337,-0.07073888976022955,-0.03262369992228432,0.07538419786174337,-0.07073888976022955
17,Bicycling,"Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm",1,0.06520198213164405,-0.046280106523611114,-0.02946314933463024,0.06520198213164405,-0.046280106523611114
18,Bicycling,"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm",1,0.13248784914421324,-0.011088932034808142,-0.0426895842019584,0.13248784914421324,-0.011088932034808142
19,Bicycling,Unicycling,0,0.0,0.0,0.0,0.0,0.0
20,Bicycling,E-bike (electrically assisted) without electronic support,0,0.010611614825048816,-0.0068018523741910355,-0.005141691141910311,0.010611614825048816,-0.0068018523741910355
21,Bicycling,E-bike (electrically assisted) with light electronic support,0,0.08620335275560559,-0.026727964919867404,-0.03507557892595117,0.08620335275560559,-0.026727964919867404
22,Bicycling,E-bike (electrically assisted) with high electronic support,0,0.022809334050980568,-0.017928862950148932,-0.010053225092333015,0.022809334050980568,-0.017928862950148932
27,Bicycling,"Bicycling, stationary, 70-80 watts",4,0.11478922824235076,-0.12965195138461494,-0.07878174592088652,0.11478922824235076,-0.12965195138461494
29,Bicycling,"Bicycling, stationary, 101-125 watts",4,0.10589102450990982,-0.12171929108434697,-0.059485961748632576,0.10589102450990982,-0.12171929108434697
30,Bicycling,"Bicycling, stationary, 126-150 watts",4,0.10750611621450684,-0.12338391751964832,-0.07191172346633376,0.10750611621450684,-0.12338391751964832
31,Bicycling,"Bicycling, stationary, 151-199 watts",4,0.12827086381380354,-0.14672265861308786,-0.08536657712699672,0.12827086381380354,-0.14672265861308786
36,Bicycling,"Bicycling, concentric only, 100 W",4,0.06687328944030786,-0.07270285730064956,-0.04211010525619191,0.06687328944030786,-0.07270285730064956
37,Bicycling,"Bicycling, concentric only, 200 W",4,0.064679760682643,-0.07233176710969944,-0.04058109837479437,0.064679760682643,-0.07233176710969944
38,Bicycling,"Bicycling, eccentric only, 100 to 149 W",4,0.05891813854074553,-0.06408971518163586,-0.0368799376956062,0.05891813854074553,-0.06408971518163586
39,Bicycling,"Bicycling, eccentric only, 200 W2024 Adult Compendium of Physical Activities",1,0.050935292106157055,-0.04710127156663642,-0.029912990122666978,0.050935292106157055,-0.04710127156663642
