Actvitiy,Description
Occupation,"Farming, hauling water for animals, fetching  water from well or stream"
Occupation,"Farming, taking care of animals (e.g.,  grooming, brushing, shearing sheep, assisting  with birthing, medical care, branding),"
Occupation,"Farming, taking care of animals (e.g.,  grooming, brushing, shearing sheep, assisting  with birthing, medical care, branding),  general"
Occupation,"Farming, rice, planting, grain milling activities"
Occupation,"Farming, milking by hand, cleaning pails,  moderate effort"
Occupation,"Farming, milking by machine, light effort"
Occupation,"Farming, milking Cows, full milking process, modern milking parlor with milking machines"
Occupation,"Fire fighter, general"
Occupation,"Fire fighter, rescue victim, automobile  accident, using pike pole"
Occupation,"Fire fighter, raising and climbing ladder with  full gear, simulated fire suppression"
Occupation,"Fire fighter, hauling hoses on ground,  carrying/hoisting equipment, breaking down  walls etc., wearing full gear"
Occupation,"Fishing, commercial, light effort"
Occupation,"Fishing, commercial, moderate effort"
Occupation,"Forestry, ax chopping, very fast, 1.25 kg axe,  51 blows/min, extremely vigorous effort"
Occupation,"Forestry, ax chopping, slow, 1.25 kg axe, 19  blows/min, moderate effort"
Occupation,"Forestry, ax chopping, fast, 1.25 kg axe, 35  blows/min, vigorous effort"
Occupation,"Forestry, moderate effort (e.g., sawing wood  with power saw, weeding, hoeing)"
Occupation,"Forestry, vigorous effort (e.g., barking, felling,  or trimming trees, carrying or stacking logs,  planting seeds, sawing lumber by"
Occupation,"Forestry, vigorous effort (e.g., barking, felling,  or trimming trees, carrying or stacking logs,  planting seeds, sawing lumber by  hand )"
Occupation,Furriery
Occupation,"Garbage collector, walking, dumping bins into truck, street cleaning"
Occupation,"Hairstylist (e.g., plaiting hair, manicure, make up artist)"
Occupation,"Horse grooming, including feeding, cleaning  stalls, bathing, brushing, clipping, longeing and  exercising horses."
Occupation,"Horse, feeding, watering, cleaning stalls, implied walking and lifting loads"
Occupation,"Horseback riding, working, cutting cows"
Occupation,"Horse racing, galloping, cantor"
Occupation,"Horse racing, Jockey, trotting"
Occupation,"Horse racing, Jockey, walking"
Occupation,Kitchen maid
Occupation,"Lawn keeper, yardwork, general"
Occupation,"Lawn keeper, weeding, gas powered"
Occupation,Laundry worker
Occupation,Locksmith
Occupation,"Machine tooling (e.g., machining, working  sheet metal, machine fitter, operating lathe,  welding) light-to-moderate effort"
Occupation,"Machine tooling, operating punch press,  moderate effort"
Occupation,"Manager, property"
Occupation,"Manual or unskilled labor, general, light effort"
Occupation,"Manual or unskilled labor, general, moderate effort"
Occupation,"Manual or unskilled labor, general, vigorous effort"
Occupation,"Masonary, concrete, moderate effort"
Occupation,"Masonry, concrete, light effort"
Occupation,"Massage therapist, standing"
Occupation,"Mail carrier, walking to deliver mail"
Occupation,"Mail delivery, motorbike"
Occupation,"Mail delivery, Electronically Assisted Bicycle"
Occupation,"Moving, carrying or pushing heavy objects, 75  lbs or more, only active time (e.g., desks,  moving van work)"
Occupation,"Mining, general services, drilling, mining support jobs (mechanical, welding, pipe installation, general construction)"
Occupation,"Skindiving or SCUBA diving as a frogman,  Navy Seal"
Occupation,"Operating heavy duty equipment, automated,  not driving"
Occupation,"Orange grove work, picking fruit"
Occupation,"Painting, house, furniture, moderate effort"
Occupation,Plumbing activities
Occupation,"Printing, paper industry worker, standing"
Occupation,"Police Officer, Walking"
Occupation,"Police, directing traffic, standing"
Occupation,"Police, driving a squad car, sitting"
Occupation,"Police, riding in a squad car, sitting"
Occupation,"Police, making an arrest, standing"
Occupation,"Counter terrorism maneuvers, clearing building"
Occupation,"Shoe repair, general"
Occupation,"Shoveling, digging ditches"
Occupation,"Shoveling, more than 16 lbs/minute, deep  digging, vigorous effort"
Occupation,"Shoveling, less than 10 lbs/minute, moderate  effort"
Occupation,"Shoveling, 10 to 15 lbs/minute, vigorous effort"
Occupation,"Sitting tasks, light effort (e.g., office work,  chemistry lab work, light  assembly repair, watch repair, reading, desk  work)"
Occupation,"Sitting, computer work"
Occupation,"Standing workstation, typing, computer work"
Occupation,"Sitting meetings, light effort, general, and/or with talking involved (e.g., eating at a business meeting)"
Occupation,"Sitting tasks, moderate effort (e.g. pushing  heavy levers, riding mower/forklift, crane  operation)"
Occupation,"Sitting, teaching stretching or yoga, or light  effort exercise classes"
Occupation,"Standing tasks, light effort (e.g., bartending,  store clerk, assembling, filing, duplicating,  librarian, putting up a Christmas tree,"
Occupation,"Standing tasks, light effort (e.g., bartending,  store clerk, assembling, filing, duplicating,  librarian, putting up a Christmas tree,  standing and talking at work, changing clothes when teaching physical education)"
Occupation,"Standing, light/moderate effort (e.g., assemble/repair heavy parts, welding, stocking  parts, auto repair, packing boxes, nursing"
Occupation,"Standing, light/moderate effort (e.g., assemble/repair heavy parts, welding, stocking  parts, auto repair, packing boxes, nursing  patient care, laundry)"
Occupation,"Standing, moderate effort, lifting items  continuously, 10 – 20 lbs, with limited walking  or resting"
Occupation,"Standing, moderate effort, intermittent lifting  50 lbs, hitch or twisting ropes"
Occupation,"Standing, moderate/heavy tasks (e.g., lifting  more than 50 lbs, masonry, painting, paper  hanging)"
Occupation,"Patient care, healthcare activites"
Occupation,"Patient care, room cleaning/preperation"
Occupation,"Steel mill, moderate effort (e.g., fettling,  forging, tipping molds)"
Occupation,"Steel mill, vigorous effort (e.g., hand rolling,  merchant mill rolling, removing slag, tending  furnace)"
Occupation,"Tailoring, cutting fabric"
Occupation,"Tailoring, general"
Occupation,"Tailoring, hand sewing"
Occupation,"Tailoring, machine sewing"
Occupation,"Tailoring, pressing"
Occupation,"Tailoring, weaving, light effort (e.g., finishing operations, washing, dyeing, inspecting cloth, counting yards, paperwork)"
Occupation,"Tailoring, weaving, moderate effort (e.g.,  spinning and weaving operations, delivering  boxes of yarn to spinners, loading of"
Occupation,"Tailoring, weaving, moderate effort (e.g.,  spinning and weaving operations, delivering  boxes of yarn to spinners, loading of  warp  bean, pinwinding, conewinding, warping, cloth  clutting)"
Occupation,"Truck driving, loading and unloading truck,  tying down load, standing, walking and  carrying heavy loads"
Occupation,"Truck driving, delivery truck, taxi, shuttlebus,  school bus"
Occupation,"Typing, electric, manual or computer"
Occupation,"Using heavy power tools such as pneumatic  tools (e.g., jackhammers, drills, etc.)"
Occupation,"Using heavy tools (not power) such as shovel,  pick, tunnel bar, spade"
Occupation,"Walking on job, less than 2.0 mph, very slow  speed, in office or lab area"
Occupation,"Walking on job, 2.8 to 3.4 mph, in office, moderate  speed, not carrying anything"
Occupation,"Walking on job, 3.5 to 3.9 mph, in office, brisk speed,  not carrying anything"
Occupation,"Walking on job, 2.5 mph, slow speed, carrying  light objects less than 25 lbs"
Occupation,"Walking, gathering things at work, ready to  leave"
Occupation,"Walking, 2.5 mph, slow speed, carrying heavy  objects more than 25 lbs"
Occupation,"Walking, 3.0 mph, moderately and carrying  light objects less than 25 lbs"
Occupation,"Walking, pushing a wheelchair"
Occupation,"Walking, 3.5 mph, briskly and carrying objects  less than 25 lbs"
Occupation,"Walking or walk downstairs or standing,  carrying objects about 25 to 49 lbs"
Occupation,"Walking or walk downstairs or standing,  carrying objects about 50 to 74 lbs"
Occupation,"Walking or walk downstairs or standing,  carrying objects about 75 to 99 lbs"
Occupation,"Walking or walk downstairs or standing,  carrying objects about 100 lbs or more"
Occupation,"Warehouse/Shipping Center, Loading/Unloading boxes"
Occupation,"Warehouse/Shipping Center, Moving boxes (~5kg)"
Occupation,"Working in scene shop, theater actor, backstage  employee"
Occupation,"Soldiers, military marching, unloaded 1.5-2.5 mph"
Occupation,"Soldiers, military marching, 1.5-2.5 mph, 10 to 30 kg load"
Occupation,"Airborne Shuffle, 2.5 to 3.5 mph, 20-30 kg load"
Occupation,"Soldiers, military loaded marching, varying terrain, 25-40 kg load"
Occupation,"Soldiers, walking, 2.8 mph, 5% grade, up to 21.5 kg load"
Occupation,"Soldiers, walking,  2.8 mph, 10% grade, up to 21.5 kg load"
Occupation,"Soldiers, walking,  2.8 mph, 15% grade, up to 21.5 kg load"
Occupation,"Military activities, arterial field preparation, digging defensive positions"
Running,Jog/walk combination (jogging component of less than 10 minutes) (Taylor Code 180)
Running,"Jogging, general, self-selected pace"
Running,"Jogging, in place"
Running,Jogging 2.6 to 3.7 mph
Running,Jogging on a mini-tramp
Running,"Running, 4 to 4.2 mph (13 min/mile)"
Running,Running 4.3 to 4.8 mph
Running,"Running, 5.0 to 5.2 mph (12 min/mile)"
Running,"Running, 5.5 -5.8 mph"
Running,"Running, 6-6.3 mph (10 min/mile)"
Running,"Running, 6.7 mph (9 min/mile)"
Running,"Running, 7 mph (8.5 min/mile)"
Running,"Running, 7.5 mph (8 min/mile)"
Running,"Running, 8 mph (7.5 min/mile)"
Running,"Running, 8.6 mph (7 min/mile)"
Running,"Running, 9 mph (6.5 min/mile)"
Running,"Running, 9.3 to 9.6 mph"
Running,"Running, 10 mph (6 min/mile)"
Running,"Running, 11 mph (5.5 min/mile)"
Running,"Running, 12 mph (5.0 min/mile)"
Running,"Running, 13 mph (4.6 min/mile)"
Running,"Running, 14 mph (4.3 min/mile)"
Running,"Running, cross country"
Running,"Running, self-selected pace"
Running,Running (Taylor Code 200)
Running,"Running, stairs, up"
Running,"Running, on a track, team practice"
Running,"Running, on track, 500-1500m, competitive"
Running,"Running, on track, 2000-3000m, competitive"
Running,"Running, training, pushing a wheelchair or baby carrier"
Running,"Running, marathon"
Running,"Running uphill, 4.5mph, 5% incline"
Running,"Running uphill, 6.0 mph, 5% incline"
Running,"Running uphill, 7.0 mph, 5% incline"
Running,"Running uphill, 5.0 to 5.9 mph, 15% incline"
Running,"Running uphill, 0.6 to 0.79 mph, 30% incline"
Running,"Running uphill, 0.8 to 0.99 mph, 30% incline"
Running,"Running uphill, 1.0 to 1.19 mph, 30% incline"
Running,"Running uphill, 1.2 to 1.39 mph, 30-40% incline"
Running,"Running uphill, 1.4 to 1.59 mph, 30% incline"
Running,"Running uphill, >1.6mph, 10-30% incline"
Running,"Running, hilly terrain, ±100m change in elevation"
Running,"Running downhill, 5.0 to 5.9 mph, -10% to -15%"
Running,"Running downhill, 6.0 to 6.9 mph, -10% to -15%"
Running,"Running downhill, 7.0 to 8.9 mph, -10% to -15%"
Running,"Running downhill, 6.0 to 7.9 mph, -3% to -9%"
Running,"Running downhill, 8.0 to 10.5 mph, -3% to -9%"
Running,"Running/jogging, curved treadmill, 3.0 to 3.9 mph"
Running,"Running/jogging, curved treadmill, 4.0 to 4.9 mph"
Running,"Running curved treadmill, 5.0 to 5.9 mph"
Running,"Running curved treadmill, 7.0 to 7.9 mph"
Running,"Running curved treadmill, 8.0 to 8.9 mph"
Running,"Running curved treadmill, 9.0 to 9.9 mph"
Running,"Running, 5.0 - 5.9 mph, 1.0 to 3.0 kg backpack"
Running,"Running, 6.0 - 6.9 mph, 1.0 to 3.0 kg backpack"
Running,"Running, 7.0 - 7.9 mph, 1.0 to 3.0 kg backpack"
Running,"Running, 8.0 - 8.9 mph, 1.0 to 3.0 kg backpack"
Running,"Running, barefoot, 3.5-5.9 mph"
Running,"Running, barefoot, 6.0-7.9 mph"
Running,"Running, barefoot, 8.0-8.9 mph"
Running,"Running, jogging stroller, indoors, 5 mph"
Running,"Running, jogging stroller, indoors, 6 mph"
Running,"Running, jogging stroller, outdoors, 5 mph"
Running,"Running, jogging stroller, outdoors, 6 mph"
Running,"Skipping, 5.5-6.0 mph"
Running,"Triathlon, Running"
Self Care,"Getting ready for bed, general, standing"
Self Care,"Sitting on toilet, eliminating while standing or squatting"
Self Care,"Bathing, sitting"
Self Care,"Dressing, undressing, standing or sitting"
Self Care,"Eating, sitting"
Self Care,"Talking and eating or eating only, standing"
Self Care,"Taking medication, sitting or standing"
Self Care,"Grooming, washing hands, shaving, brushing teeth, putting on make-up, sitting or standing"
Self Care,"Hairstyling, standing"
Self Care,"Having hair or nails done by someone else, sitting"
Self Care,"Showering, toweling off, standing"
Sexual Activity,"Active, vigorous effort"
Sexual Activity,"General, moderate effort"
Sexual Activity,"Passive, light effort, kissing, hugging"
Sports,"Alaska Native Games, Eskimo Olympics, general"
Sports,Archery (non-hunting)
Sports,"Badminton, competitive (Taylor Code 450)"
Sports,"Badminton, competitive, match play"
Sports,"Badminton, social singles and doubles, general"
Sports,"Basketball, game (Taylor Code 490)"
Sports,"Basketball, non-game, general (Taylor Code 480)"
Sports,"Basketball, general"
Sports,"Basketball, officiating (Taylor Code 500)"
Sports,"Basketball, officiating"
Sports,"Basketball, shooting baskets"
Sports,"Basketball, drills, practice"
Sports,Billiards
Sports,Bowling (Taylor Code 390)
Sports,"Bowling, indoor, bowling alley"
Sports,"Boxing, in ring, general"
Sports,"Boxing, punching bag"
Sports,"Boxing, punching bag, 60 b/min"
Sports,"Boxing, punching bag, 120 b/min"
Sports,"Boxing, punching bag, 180 b/min"
Sports,"Boxing, sparring"
Sports,"Boxing, simulated boxing round, exercise"
Sports,Broomball
Sports,"Children’s games, adults playing  (e.g., hopscotch, 4-square, dodge ball, playground apparatus, t-ball,  tetherball, marbles,"
Sports,"Children’s games, adults playing  (e.g., hopscotch, 4-square, dodge ball, playground apparatus, t-ball,  tetherball, marbles,  jacks, arcade games), moderate effort"
Sports,"Cheerleading, gymnastic moves, competitive"
Sports,"Coaching, football, soccer, basketball, baseball, swimming, etc."
Sports,"Coaching, actively playing sport with players"
Sports,"Cricket, batting, bowling, fielding"
Sports,Croquet
Sports,Curling
Sports,"Darts, wall or lawn"
Sports,"Drag racing, pushing or driving a car"
Sports,"Auto racing, open wheel"
Sports,Futsal
Sports,"Fencing, general"
Sports,"Fencing, epee, competitive"
Sports,Floorball
Sports,"Football, competitive"
Sports,"Football, touch, flag, general (Taylor Code 510)"
Sports,"Football, touch, flag, light effort"
Sports,"Football or baseball, playing catch"
Sports,"Frisbee playing, general"
Sports,"Frisbee, ultimate"
Sports,Frisbee golf
Sports,"Golf, general"
Sports,"Golf, walking, carrying clubs"
Sports,"Golf, miniature, driving range"
Sports,"Golf, walking, pulling clubs"
Sports,"Golf, using power cart (Taylor Code 070)"
Sports,"Gymnastics, general"
Sports,Hacky sack
Sports,"Handball, general (Taylor Code 520)"
Sports,"Handball, team"
Sports,"High ropes course, multiple elements"
Sports,Hang gliding
Sports,"Hockey, field"
Sports,"Hockey, ice, general"
Sports,"Hockey, ice, competitive"
Sports,"Horseback riding, general"
Sports,"Horse grooming, maintenance, saddling tasks"
Sports,"Horseback riding, trotting"
Sports,"Horseback riding, canter or gallop"
Sports,"Horseback riding, walking"
Sports,"Horseback riding, jumping"
Sports,"Horseback riding, reining"
Sports,"Horseback riding, simulator"
Sports,"Horse cart, driving, standing or sitting"
Sports,"Horseshoe pitching, quoits"
Sports,Jai alai
Sports,"Martial Arts, different types, slower pace, novice performers, practice"
Sports,"Martial Arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwon do, tai-bo, Muay Thai boxing)"
Sports,"Taekwondo, combat simulation"
Sports,Judo
Sports,Juggling
Sports,"Kendu, kihon-keiko style, moderate intensity"
Sports,"Kendu, kirikaeshi style, high intensity"
Sports,"Kendu, kakari keiko style, very high intensity"
Sports,Kickball
Sports,Kung Fu Gymnastics
Sports,Kickboxing
Sports,Lacrosse
Sports,"Lawn bowling, bocce ball, outdoor"
Sports,"Motocross, off-road motor sports, all-terrain vehicle, general"
Sports,"Motorcycle racing, Supormoto racing"
Sports,Netball
Sports,Orienteering
Sports,"Paddleball, competitive"
Sports,"Paddleball, casual, general (Taylor Code 460)"
Sports,"Paragliding, moderate altitude"
Sports,Prusik climbing
Sports,"Polo, on horseback"
Sports,"Racquetball, competitive"
Sports,"Race Walking, 3.1 m/s (6.9 mph)"
Sports,"Race Walking, 3.7 m/s (8.3 mph)"
Sports,"Race Walking, racing speed, 4.0 m/s (8.95 mph)"
Sports,"Racquetball, general (Taylor Code 470)"
Sports,"Rock or mountain climbing (Taylor Code 060), (formerly code 17120)"
Sports,"Rock climbing, free boulder"
Sports,"Rock climbing, ascending rock, high difficulty"
Sports,"Rock climbing, speed climbing, very difficult"
Sports,"Rock climbing, ascending or traversing rock, low-to-moderate difficulty"
Sports,"Rock climbing, treadwall, 4-6 m/min"
Sports,"Rock climbing, treadwall, 7-10 m/min"
Sports,"Rock climbing, rappelling,"
Sports,"Rodeo sports, general, light effort"
Sports,"Rodeo sports, general, moderate effort"
Sports,"Rodeo sports, general, vigorous effort"
Sports,"Rope jumping, fast pace, 120-160 skips/min"
Sports,"Rope jumping, moderate pace, general, 100 to 120 skips/min, 2 foot skip, plain bounce"
Sports,"Rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce"
Sports,"Rope jumping, double under or more"
Sports,"Rugby, union, team, competitive"
Sports,"Rugby, touch, non-competitive"
Sports,Shuffleboard
Sports,"Skateboarding, general, moderate effort"
Sports,"Skateboarding, competitive, vigorous effort"
Sports,"Skating, roller (Taylor Code 360)"
Sports,"Roller blading, in-line skating, 14.4 km/h (9.0 mph), recreational pace"
Sports,"Roller blading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training"
Sports,"Roller blading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training"
Sports,"Rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort"
Sports,"Skateboard, longboard, 13.3 km/h, slow speed"
Sports,"Skateboard, longboard, 16.2 km/h, typical speed"
Sports,"Skateboard, longboard, 13.3 km/h, fast speed"
Sports,"Skydiving, base-jumping, bungee jumping"
Sports,"Soccer, competitive"
Sports,"Soccer, casual, general (Taylor Code 540)"
Sports,Walking football/soccer
Sports,"Softball or baseball, fast or slow pitch, general, moderate effort (Taylor Code 440)"
Sports,"Softball, practice"
Sports,"Softball, officiating"
Sports,"Softball, pitching"
Sports,"Sports spectator, very excited, emotional, physically moving"
Sports,Squash (Taylor Code 530)
Sports,"Squash, general"
Sports,"Table tennis, ping pong (Taylor Code 410)"
Sports,"Tai chi, qi gong, general"
Sports,"Tai chi, qi gong, sitting, light effort"
Sports,"Tai chi chuan, Yang style"
Sports,"Tennis, general, moderate effort"
Sports,"Tennis, general, competitive"
Sports,"Tennis, doubles (Taylor Code 430)"
Sports,"Tennis, doubles"
Sports,"Tennis, singles (Taylor Code 420)"
Sports,"Tennis, hitting balls, non-game play, moderate effort"
Sports,"Trampoline, recreational"
Sports,"Trampoline, competitive"
Sports,Volleyball (Taylor Code 400)
Sports,"Volleyball, competitive, in gymnasium"
Sports,"Volleyball, non-competitive, 6 - 9 member team, general"
Sports,"Volleyball, beach, in sand"
Sports,"Wrestling, competitive (one match = 5 minutes)"
Sports,"Wallyball, general"
Sports,"Track and field (e.g., shot, discus, hammer throw)"
Sports,"Track and field (e.g., high jump, long jump, triple jump, javelin, pole vault)"
Sports,"Track and field (e.g., steeplechase, hurdles)"
Transportation,"Bicycling for transportation, light effort"
Transportation,"Bicycling for transportation, high effort"
Transportation,E-bike (electrically assisted) for transportation
Transportation,Automobile or light truck (not a semi) driving
Transportation,Riding in a car or truck
Transportation,Riding in a bus or train
Transportation,Flying airplane or helicoptor
Transportation,"Motor scooter, motorcycle"
Transportation,Pulling rickshaw
Transportation,Pushing plane in and out of hangar
Transportation,"Truck, semi, tractor, ≥1 ton, or bus, driving"
Transportation,"Walking for transportation, 2.8-3.2 mph, level, moderate pace, firm surface"
Walking,Backpacking (Taylor Code 050)
Walking,"Walking with a day pack, level ground, assumed in the city"
Walking,"Backpacking,  hiking with a daypack, organized walking with daypack"
Walking,"Carrying 5 to 14 lb (2.3 to 6.4 kg) load (e.g. suitcase, boxes, groceries), level ground, moderate pace"
Walking,"Carrying 15 - 155 lb (6.8 - 70.4 kg) load (e.g. suitcase, boxes, furniture), level ground or downstairs, slow pace"
Walking,"Carrying 50 to 150 pound load (e.g., equine or bovine feed, fence pipes, furniture), level ground, moderate pace"
Walking,"Carrying ~10 lb child, slow walking"
Walking,"Carrying load upstairs, general"
Walking,"Carrying load, 1 to 15 lb load, upstairs"
Walking,"Carrying load, 16 to 24 lb load, upstairs"
Walking,"Carrying load, 25 to 49 lb load, upstairs"
Walking,"Carrying load, 50 to 74 lb load, upstairs"
Walking,"Carrying load, >74 lb load, upstairs"
Walking,"Loading  and/or unloading a car, implied walking"
Walking,"Climbing hills, no load, 5 to 20% grade, very slow pace"
Walking,"Climbing hills, 15-50 lb load, 1 to 2% grade, slow pace"
Walking,"Climbing hills, no load, 1 to 5% grade, moderate-to-brisk pace"
Walking,"Climbing hills, no load, 6 to 10% grade, moderate-to-brisk pace"
Walking,"Climbing hills, no load, 11 to 20% grade, slow-to-moderate pace"
Walking,"Climbing hills, no load, 4.0 to 5.0 mph, 3 to 5% grade, very fast pace"
Walking,"Climbing hills, no load, steep grade (30%), slow pace (less than 1.2 mph)"
Walking,"Climbing hills, no load, very steep grade (30-40%), 1.2 to 1.8 mph"
Walking,"Climbing hills, no load, steep grade (10-40%), 1.8 to 5.0 mph"
Walking,"Climbing hills, 10 to 20 lb load, 5 to 10% grade, moderate"
Walking,"Climbing hills, 21 to 40 lb load, 3 to 10% grade, moderate-to-brisk pace"
Walking,"Climbing hills, 20+ pound load, 5 to 20% grade, moderate to brisk pace"
Walking,Descending stairs
Walking,"Hauling water, head hauling, walking on flat surface"
Walking,"Hiking, cross country (Taylor Code 040)"
Walking,"Hiking slowly or ambling through fields and hillsides, no load"
Walking,"Hiking or walking at a normal pace through fields and hillsides, no load"
Walking,"Bird watching, walking and stopping"
Walking,"Marching, moderate speed, military, no pack"
Walking,"Marching rapidly, military, no pack"
Walking,"Pushing or pulling stroller with child or walking with children, 2.5 to 3.1 mph"
Walking,"Pushing a wheelchair, non-occupational"
Walking,Race walking
Walking,"Stair climbing, using or climbing up ladder (Taylor Code 030)"
Walking,"Stair climbing, general"
Walking,"Stair climbing, slow pace"
Walking,"Stair climbing, fast pace, one step at a time"
Walking,"Stair climbing, two steps at a time"
Walking,"Stair climbing, ascending and descending stairs"
Walking,"Using crutches, level ground, general"
Walking,"Using crutches, fast pace"
Walking,Using medical knee scooter
Walking,"Walking, household"
Walking,"Walking, less than 2.0 mph, level, strolling, very slow"
Walking,"Walking, 2.0 to 2.4 mph, level, slow pace, firm surface"
Walking,Walking for pleasure (Taylor Code 010)
Walking,"Walking from house to car or bus, from car or bus to go places, from car or bus to and from the worksite"
Walking,Walking to neighbor’s house or family’s house for social reasons
Walking,Walking the dog
Walking,"Walking, 2.5 mph, firm, level surface"
Walking,"Walking, 2.5 mph, downhill"
Walking,"Walking, 2.8 to 3.4 mph, level, moderate pace, firm surface"
Walking,"Walking, 3.5 to 3.9 mph, level, brisk, firm surface, walking for exercise"
Walking,"Walking, 4.0 to 4.4 mph (6.4 to 7.0 km/h), level, firm surface, very brisk pace"
Walking,"Walking, 4.5 to 4.9 mph, level, firm surface, very, very brisk"
Walking,"Walking, 5.0 to 5.5 mph (8.8 to 8.9 km/h), level, firm surface"
Walking,"Walking, for pleasure, work break (Taylor Code xxx)"
Walking,"Walking, self-selected speed, indoor track or outdoors, firm surface"
Walking,"Walking, grass track"
Walking,"Walking, normal pace, plowed field or sand"
Walking,"Walking, to work or class (Taylor Code 015)"
Walking,"Walking, to and from an outhouse"
Walking,"Walking, for exercise, 2.5 to 3.5 mph (4.0 to 5.6 km/h), with ski poles, Nordic walking, level, moderate pace"
Walking,"Walking, for exercise, 3.6 to 4.4 mph (5.8 to 7.1 km/h), with ski poles, Nordic walking, level, moderate pace"
Walking,"Walking, for exercise, 4.5 to 5.0 mph, with ski poles, Nordic walking, level, fast pace"
Walking,"Walking, for exercise, with ski poles, Nordic walking, uphill, moderate pace"
Walking,"Walking, for exercise, with ski poles, Nordic walking, level ground, carrying 20 to 30 lb load (9.0 to 15.0 kg)"
Walking,"Walking, for exercise, with ski poles, Nordic walking, uphill, carrying 20 to 30 lb load (9.0 to 15.0 kg)"
Walking,"Walking, backward, 3.5 mph, level"
Walking,"Walking, backward, 3.5 mph, uphill, 5% grade"
Walking,"Walking, Teabag walk, Monty Python Ministry of Silly Walks"
Walking,"Walking, Putey walk, Monty Python Ministry of Silly Walks"
Walking,"Walking, treadmill, less than 1.0 mph, 0% grade"
Walking,"Walking, treadmill, 1.0 mph, 0% grade"
Walking,"Walking, treadmill, 1.2 to 1.9 mph, 0% grade (1.9 to 3.0 km/h)"
Walking,"Walking, treadmill, 2.0 to 2.4 mph (3.2 to 3.9 km/h), 0% grade"
Walking,"Walking, treadmill, 2.5 to 2.9 mph (4.0 to 4.7 km/h), 0% grade"
Walking,"Walking, treadmill, 3.0 to 3.4 mph (4.8 to 5.5 km/h), 0% grade"
Walking,"Walking, treadmill, 3.5 to 3.9 mph (5.6 to 6.3 km/h), 0% grade"
Walking,"Walking, treadmill, 4.0 to 4.4 mph (6.4 to 7.1 km/h), 0% grade"
Walking,"Walking, treadmill, 4.5 to 4.9 mph (7.2 to 7.9 km/h), 0% grade"
Walking,"Walking, treadmill, 5.0 to 5.5 mph (8.0 to 8.9 km/h), 0% grade"
Walking,"Walking, treadmill, downhill (-3% to -12% grade), 2.8 to 3.1 mph"
Walking,"Walking, treadmill, downhill (-5% to -25% grade), 2.8 mph, with Nordic Poles"
Walking,"Walking, treadmill, 2.5 mph, 0% grade, 5 to 20 degrees C, 40 lb (18.2 kg) load"
Walking,"Walking, treadmill, 2.5 mph, 0% grade, -10 to 0 degrees C, 40 lb (18.2 kg) load"
Walking,"Walking, Curved treadmill, 3.0 to 5.0 mph, brisk pace"
Walking,"Walking treadmill, backwards, 2.5 mph, +10% grade"
Walking,"Walking, with a walker or step-to gait on treadmill, 0.7 mph (1.1 km/h), 0% grade"
Water Activities,"Boating, power, driving"
Water Activities,"Boating, power, passenger, light"
Water Activities,"Canoeing, on camping trip (Taylor Code 270)"
Water Activities,"Canoeing, harvesting wild rice, knocking rice off the stalks"
Water Activities,"Canoeing, portaging"
Water Activities,"Canoeing, rowing, 2.0-3.9 mph, light effort"
Water Activities,"Canoeing, rowing, 4.0-5.9 mph, moderate effort"
Water Activities,"Canoeing, rowing, kayaking, competition, > 6 mph, vigorous effort"
Water Activities,"Canoeing, rowing, for pleasure, general (Taylor Code 250)"
Water Activities,"Canoeing or rowing, in competition, crew or sculling (Taylor Code 260)"
Water Activities,"Diving, springboard or platform"
Water Activities,"Kayaking, moderate effort"
Water Activities,"Kayaking, competition"
Water Activities,"Kayaking, slalom, flat water"
Water Activities,Paddle boat
Water Activities,"Rowing, simulated crew in a water tank, single oar, 33 strokes/min,"
Water Activities,"Rowing, single scull, ergometer, ergometer on slides, racing speed (32+ strokes/min, >10 mph)"
Water Activities,"Sailing, boat and board sailing, windsurfing, ice sailing, general (Taylor Code 235)"
Water Activities,"Sailing, in competition, general"
Water Activities,"Sailing, in competition, high effort"
Water Activities,"Sailing, Sunfish/Laser/Hobby Cat, Keel boats, ocean sailing, yachting, leisure"
Water Activities,"Sailing, dingy"
Water Activities,"Skiing, water or wake boarding (Taylor Code 220)"
Water Activities,"Jet skiing, driving, in water"
Water Activities,"Skindiving, fast"
Water Activities,"Skindiving, moderate"
Water Activities,"Skindiving, scuba diving, general (Taylor Code 310)"
Water Activities,"Scuba diving, general, light effort"
Water Activities,"Scuba diving, general, moderate effort"
Water Activities,"Scuba diving, professional diver"
Water Activities,"Scuba diving, recreational diver"
Water Activities,Snorkeling (Taylor Code 320)
Water Activities,"Surfing, body or board, general"
Water Activities,"Surfboard, paddling"
Water Activities,"Surfing, body or board, competitive"
Water Activities,"Stand up paddle boarding, general"
Water Activities,"Stand up Paddleboard, standing, 10-19 strokes/min"
Water Activities,"Stand up Paddleboard, standing, 20-29 strokes/min"
Water Activities,"Stand up Paddleboard, standing, 30-39 strokes/min"
Water Activities,"Stand up Paddleboard, standing, 40-49 strokes/min"
Water Activities,"Stand up Paddleboard, standing, 50-69 strokes/min"
